date,time,open,close,high,low,volume
2021-01-01,05:30:00,538.0,531.6,538.0,530.0,419379
2021-01-04,05:30:00,534.2,526.25,536.45,525.0,632141
2021-01-05,05:30:00,524.25,527.65,536.85,523.05,818749
2021-01-06,05:30:00,529.9,522.25,533.0,518.05,564689
2021-01-07,05:30:00,529.0,540.2,551.0,525.0,3199768
2021-01-08,05:30:00,545.0,538.55,547.25,535.0,720459
2021-01-11,05:30:00,539.8,530.25,544.0,527.0,971659
2021-01-12,05:30:00,532.4,532.45,537.05,527.45,531840
2021-01-13,05:30:00,533.8,529.55,544.0,524.4,914480
2021-01-14,05:30:00,530.7,527.65,532.1,524.0,614942
2021-01-15,05:30:00,527.75,516.1,531.0,514.6,532434
2021-01-18,05:30:00,515.0,505.65,515.0,500.0,804766
2021-01-19,05:30:00,508.2,522.85,524.75,508.0,709630
2021-01-20,05:30:00,524.75,519.35,524.75,516.65,288044
2021-01-21,05:30:00,522.5,515.85,526.6,511.3,603669
2021-01-22,05:30:00,511.0,505.4,513.0,503.0,525402
2021-01-25,05:30:00,509.1,487.9,512.6,485.2,1067918
2021-01-27,05:30:00,488.8,489.7,493.0,476.35,1164092
2021-01-28,05:30:00,485.0,484.65,489.3,481.0,499404
2021-01-29,05:30:00,488.25,482.7,494.25,480.0,383457
2021-02-01,05:30:00,484.0,488.65,502.75,483.15,1192880
2021-02-02,05:30:00,508.9,504.9,508.9,496.0,633238
2021-02-03,05:30:00,506.0,519.25,524.0,500.5,980878
2021-02-04,05:30:00,529.95,526.85,536.0,524.05,1576873
2021-02-05,05:30:00,526.85,509.9,530.25,508.0,810572
2021-02-08,05:30:00,515.0,519.5,524.8,512.0,769025
2021-02-09,05:30:00,523.5,512.45,523.5,511.0,765241
2021-02-10,05:30:00,514.7,521.5,524.3,510.05,553129
2021-02-11,05:30:00,521.5,518.45,523.25,515.25,308429
2021-02-12,05:30:00,520.35,538.05,540.0,517.1,2312054
2021-02-15,05:30:00,553.0,567.95,584.0,545.0,5673113
2021-02-16,05:30:00,571.0,555.25,578.7,553.2,1440580
2021-02-17,05:30:00,553.9,561.35,566.0,553.1,709707
2021-02-18,05:30:00,564.0,554.35,564.0,550.55,524783
2021-02-19,05:30:00,554.8,571.1,592.9,551.1,2545803
2021-02-22,05:30:00,575.0,590.95,608.0,574.95,3654440
2021-02-23,05:30:00,606.7,605.25,619.0,597.0,2879227
2021-02-24,05:30:00,605.1,619.2,624.45,604.65,1110959
2021-02-25,05:30:00,625.0,619.45,632.5,616.2,1201528
2021-02-26,05:30:00,602.55,624.1,638.0,602.55,1734602
2021-03-01,05:30:00,632.0,627.6,639.3,621.25,988372
2021-03-02,05:30:00,632.0,613.85,632.0,610.0,839092
2021-03-03,05:30:00,615.0,618.5,631.4,613.25,840586
2021-03-04,05:30:00,615.0,618.95,625.0,611.5,464705
2021-03-05,05:30:00,620.0,599.9,620.8,597.2,914993
2021-03-08,05:30:00,602.9,599.25,608.95,596.65,509691
2021-03-09,05:30:00,601.35,589.25,604.9,583.15,556315
2021-03-10,05:30:00,594.0,589.85,598.0,585.25,377183
2021-03-12,05:30:00,595.4,586.75,598.7,585.3,461963
2021-03-15,05:30:00,590.6,607.55,612.4,565.5,1141112
2021-03-16,05:30:00,608.0,633.4,647.0,603.0,2558617
2021-03-17,05:30:00,630.0,615.6,644.8,612.0,1287768
2021-03-18,05:30:00,620.0,603.2,631.35,593.2,1124201
2021-03-19,05:30:00,597.0,609.5,614.4,579.0,1991910
2021-03-22,05:30:00,615.0,609.5,616.75,604.4,543384
2021-03-23,05:30:00,610.8,637.7,643.0,609.0,1690828
2021-03-24,05:30:00,631.8,634.2,653.8,626.25,1351859
2021-03-25,05:30:00,631.5,627.5,637.7,614.95,798637
2021-03-26,05:30:00,631.2,644.8,656.75,631.2,1106271
2021-03-30,05:30:00,645.0,653.4,662.0,645.0,640186
2021-03-31,05:30:00,653.45,656.05,674.0,621.35,1044488
2021-04-01,05:30:00,661.05,655.65,671.7,652.1,712734
2021-04-05,05:30:00,659.0,652.5,659.5,639.0,751642
2021-04-06,05:30:00,658.0,720.05,732.85,650.55,6581017
2021-04-07,05:30:00,721.0,744.0,764.0,713.5,3415202
2021-04-08,05:30:00,745.95,756.8,769.95,745.0,1430343
2021-04-09,05:30:00,760.0,750.85,760.25,748.05,442664
2021-04-12,05:30:00,739.95,706.15,739.95,691.25,986310
2021-04-13,05:30:00,712.0,710.2,736.85,706.0,667034
2021-04-15,05:30:00,709.0,719.05,724.0,699.0,558408
2021-04-16,05:30:00,721.45,725.2,735.75,713.3,461112
2021-04-19,05:30:00,715.2,712.6,734.0,696.0,585556
2021-04-20,05:30:00,722.8,718.7,727.95,711.1,320280
2021-04-22,05:30:00,717.0,721.1,735.5,712.25,507527
2021-04-23,05:30:00,719.5,720.65,732.0,717.55,340819
2021-04-26,05:30:00,725.0,731.35,734.9,725.0,299287
2021-04-27,05:30:00,741.0,780.75,792.0,740.05,1520954
2021-04-28,05:30:00,784.9,813.65,825.0,782.0,1517094
2021-04-29,05:30:00,820.5,803.45,825.85,785.6,709933
2021-04-30,05:30:00,803.0,806.8,827.0,802.0,725914
2021-05-03,05:30:00,806.95,795.85,819.9,789.0,749365
2021-05-04,05:30:00,802.0,777.0,818.0,770.05,827915
2021-05-05,05:30:00,782.15,792.0,797.7,778.0,323580
2021-05-06,05:30:00,793.0,789.55,801.0,777.75,578463
2021-05-07,05:30:00,794.0,798.7,832.0,794.0,1568322
2021-05-10,05:30:00,808.0,804.55,819.8,801.05,501904
2021-05-11,05:30:00,800.0,798.0,808.55,792.0,371293
2021-05-12,05:30:00,800.0,803.0,817.4,795.0,555966
2021-05-14,05:30:00,808.95,829.85,834.0,799.3,2176677
2021-05-17,05:30:00,840.0,862.25,874.8,840.0,1779604
2021-05-18,05:30:00,871.0,870.0,894.95,865.1,813586
2021-05-19,05:30:00,870.0,879.45,898.0,870.0,874735
2021-05-20,05:30:00,884.4,869.5,890.75,862.0,400089
2021-05-21,05:30:00,874.95,871.1,879.15,868.0,296671
