date,time,open,close,high,low,volume
2021-01-01,05:30:00,1257.9,1260.45,1265.5,1255.8,4253550
2021-01-04,05:30:00,1269.0,1288.25,1290.0,1261.15,7208454
2021-01-05,05:30:00,1282.0,1293.8,1299.0,1275.05,8145280
2021-01-06,05:30:00,1300.0,1282.1,1302.0,1268.05,7161715
2021-01-07,05:30:00,1296.0,1262.15,1297.65,1255.5,10954918
2021-01-08,05:30:00,1278.25,1312.1,1316.8,1278.25,13186251
2021-01-11,05:30:00,1342.1,1376.2,1383.35,1340.0,20528626
2021-01-12,05:30:00,1378.0,1371.75,1378.0,1360.0,8309868
2021-01-13,05:30:00,1373.85,1387.15,1392.8,1360.0,14442997
2021-01-14,05:30:00,1360.0,1370.5,1384.0,1318.45,27521697
2021-01-15,05:30:00,1360.0,1344.95,1364.45,1340.0,15018441
2021-01-18,05:30:00,1338.0,1312.05,1340.0,1306.0,8861765
2021-01-19,05:30:00,1320.0,1316.65,1331.0,1312.0,5585744
2021-01-20,05:30:00,1320.55,1339.45,1348.4,1320.55,8225838
2021-01-21,05:30:00,1350.0,1339.7,1361.05,1335.0,6142421
2021-01-22,05:30:00,1327.0,1340.85,1356.0,1326.55,9646591
2021-01-25,05:30:00,1345.0,1325.1,1347.9,1313.0,6542611
2021-01-27,05:30:00,1319.6,1301.0,1327.55,1285.1,8133665
2021-01-28,05:30:00,1291.8,1276.2,1296.45,1272.55,4660690
2021-01-29,05:30:00,1286.25,1239.05,1291.15,1231.0,12183519
2021-02-01,05:30:00,1250.55,1260.9,1277.95,1241.0,8880279
2021-02-02,05:30:00,1280.0,1271.25,1294.4,1263.6,6892490
2021-02-03,05:30:00,1277.65,1284.65,1304.0,1273.0,8182968
2021-02-04,05:30:00,1285.0,1279.35,1293.4,1272.05,5032240
2021-02-05,05:30:00,1286.4,1272.1,1288.75,1262.0,5477481
2021-02-08,05:30:00,1285.5,1303.55,1310.0,1275.5,6921922
2021-02-09,05:30:00,1306.9,1305.55,1332.0,1297.85,7965949
2021-02-10,05:30:00,1295.8,1296.5,1304.35,1283.6,5951207
